Sample	alt_0	alt_1
af494193-5208-4eda-9cec-52bd5865e867	0+0,0;0	0+0,0;0
af850e32-8618-454f-b43b-7c87ba1b6503	0+0,0;0	0+0,0;0
affbe977-b07d-44ab-9e20-63feb2d4ac01	0+1,0;0	0+0,0;0
b1cffb9c-88c3-4c36-87d6-4015d840fcc5	1+0,0;0	0+0,0;0
b488c856-9034-44dc-8d66-11f471a63069	0+0,0;0	0+0,0;0
b55c2aa7-6254-400e-a1f2-ee4fa65a15f5	0+0,0;0	0+0,0;0
b5f6da61-2bc2-46b2-ac36-fd1a1db36ce7	0+0,0;3	0+0,0;0
b69deff9-802c-45d0-9cba-bb968b0abb4f	0+0,0;0	0+0,0;0
b8fffa4d-8fdb-4db0-b5b1-12f223af1ffc	0+0,0;0	0+0,0;0
b9e9b177-90db-4cdc-985e-d4413c08c2f5	0+0,0;0	0+0,0;0
ba8c9991-9aa5-4858-81ac-dfe08106a6e4	0+0,0;0	0+0,0;0
bcbfc0e2-c1d2-49e7-8423-4cee9fa0ca1f	0+0,0;0	0+0,0;0
c08a8bea-c6d7-4e9b-8e70-9eac6a420667	1+0,0;0	0+0,0;0
c474ed1e-e39b-43db-b316-0aceae837c8c	0+0,0;0	0+0,0;0
c47f9d75-8336-4f26-8010-1290e90736a0	0+0,0;0	0+0,0;0
c61d78a9-1498-4b16-a77d-98a872455d5a	0+0,0;0	0+0,0;0
c7a31352-6348-4245-ac8d-b31464a360f6	0+0,0;0	0+0,0;0
c8027970-9b0f-4ddf-a64d-474d369d01a8	0+0,0;0	0+0,0;0
cdbb88a3-4669-49b4-91a6-9b1e5b939ae1	0+0,0;3	0+0,0;0
d023b82b-ae6c-4057-adf1-182d9cf01e62	2+0,0;0	0+0,0;0
d25e2a7e-7788-45e2-8cb5-c37226981781	0+0,0;0	0+0,0;0
d2f5792b-2c27-46bb-870c-d21b2ab0d189	0+0,0;0	0+0,0;0
d2faebe8-a9be-4e18-a494-42e5145caef7	0+0,0;0	0+0,0;0
d56fb05e-1376-4478-a365-a2f62db92442	0+0,0;0	0+0,0;0
d753fbca-941c-419b-9201-cd26e7e269ce	0+0,0;0	0+0,0;0
d91ea2d5-59c5-44f0-84ef-1282e9cc4104	0+0,0;0	0+0,0;0
d9887a3f-fdad-469c-b98d-c56d8d1112ea	0+0,0;0	0+0,0;0
d9a9cabe-8390-447a-8480-33b687f2519a	0+0,0;0	0+0,0;0
d9c5a22b-78a5-4c1f-a752-1c2da8d8aafc	0+1,0;2	0+0,0;0
dde091a8-e459-470a-b299-2784017a7e53	0+0,0;0	0+0,0;0
dec6fa4d-9684-4976-afa2-8bd9a89be2cb	1+1,0;3	0+0,0;0
defab014-d925-4347-a73b-741b00b946b5	0+0,0;0	0+0,0;0
df828a3c-45d2-40d7-bb09-bbb482a39d85	0+0,0;1	0+0,0;0
e0702a32-018e-4dcd-8ea0-3f8d999fa2b0	0+0,0;0	0+0,0;0
e0b67b69-2a84-4556-a1b8-3c99c8f79b89	0+0,0;0	0+0,0;0
e14ea2f4-7901-477a-aba0-4e88d16a3097	0+0,0;0	0+0,0;0
e248203b-5ee8-4bfa-8492-f5b25fa996f9	0+0,0;0	0+0,0;0
e5161e2d-11e0-4203-9b23-ec25c2f74c32	0+0,0;0	0+0,0;0
e7127741-1678-4760-b21a-dc5ee6eb94a4	4+0,0;3	0+0,0;0
ee5e1b07-87e4-4658-a854-ae1b88230519	0+0,0;0	0+0,0;0
f15b52c9-944d-4830-9ac2-fb6465b306f4	0+0,0;0	0+0,0;0
f40b27ad-6c00-417f-915c-31a65c10f26e	0+0,0;0	0+0,0;0
f44cac74-2ba4-478d-a73c-5f0156703fa0	0+0,0;0	0+0,0;0
f611cdf9-2541-43b9-9964-4704edc76111	0+0,0;0	0+0,0;0
f7782169-7472-4c69-a598-b6d1f91d0a58	0+0,0;0	0+0,0;0
fa31ea95-ee50-4c11-8e35-312baa586987	1+0,0;0	0+0,0;0
fbea695c-d9bf-499c-ab09-965e75e53ecf	3+0,2;0	0+0,0;0
fc815d51-2d4f-4712-83ae-4f1627bab504	1+0,0;0	0+0,0;0
fe2f8cc5-2845-476e-b372-59845c21f45d	0+0,0;0	0+0,0;0
Statistics_summary(split_reads)	31|34: 0.860830659051819	0|1: 1
